feature_ratio,no_tfs,no_tfs_actual,method,CTRL,TRTMT,TRTMT_CTRL
0.18,16,16,RI,12,4,0.333333333333333
0.18,16,47,COMB,38,9,0.236842105263158
0.18,20,20,Netact,16,4,0.25
0.18,20,20,MARINa,16,4,0.25
0.18,20,20,RI,14,6,0.428571428571429
0.18,20,57,COMB,43,14,0.325581395348837
0.18,24,24,Netact,18,6,0.333333333333333
0.18,24,24,MARINa,19,5,0.263157894736842
0.18,24,24,RI,14,10,0.714285714285714
0.18,24,68,COMB,47,21,0.446808510638298
0.18,28,28,Netact,21,7,0.333333333333333
0.18,28,28,MARINa,22,6,0.272727272727273
0.18,28,28,RI,17,11,0.647058823529412
0.18,28,77,COMB,54,23,0.425925925925926
0.18,32,32,Netact,24,8,0.333333333333333
0.18,32,32,MARINa,25,7,0.28
0.18,32,32,RI,19,13,0.684210526315789
0.18,32,85,COMB,59,26,0.440677966101695
0.18,36,36,Netact,25,10,0.4
0.18,36,36,MARINa,28,8,0.285714285714286
0.18,36,36,RI,20,15,0.75
0.18,36,96,COMB,64,31,0.484375
0.18,40,40,Netact,28,11,0.392857142857143
0.18,40,40,MARINa,30,10,0.333333333333333
0.18,40,40,RI,22,17,0.772727272727273
0.18,40,106,COMB,69,36,0.521739130434783
0.18,44,44,Netact,31,12,0.387096774193548
0.18,44,44,MARINa,34,10,0.294117647058824
0.18,44,44,RI,25,18,0.72
0.18,44,114,COMB,76,37,0.486842105263158
0.18,48,48,Netact,35,12,0.342857142857143
0.18,48,48,MARINa,38,10,0.263157894736842
0.18,48,48,RI,26,21,0.807692307692308
0.18,48,120,COMB,80,39,0.4875
0.18,52,52,Netact,38,13,0.342105263157895
0.18,52,52,MARINa,41,11,0.268292682926829
0.18,52,52,RI,28,23,0.821428571428571
0.18,52,128,COMB,84,43,0.511904761904762
0.18,56,56,Netact,40,14,0.35
0.18,56,56,MARINa,42,14,0.333333333333333
0.18,56,56,RI,30,25,0.833333333333333
0.18,56,133,COMB,87,44,0.505747126436782
0.18,60,60,Netact,43,15,0.348837209302326
0.18,60,60,MARINa,43,17,0.395348837209302
0.18,60,60,RI,31,28,0.903225806451613
0.18,60,144,COMB,91,51,0.56043956043956
0.2,4,4,Netact,4,0,0
