,FeatureRatio,TopTFs,AbsCor,Nodes,Interactions,PosInt,Connected,Transitivity,MeanDistance,DupStatus,SimIdx,ClusterA,ClusterB,Accuracy,Accuracy_sd,KLdist,ClusterA2,ClusterB2,AvgDist,flexibility,maxSigval.Netact,maxSigval.MARINa,minSigval.RI
0.07-40-0.85,0.07,40,0.85, 35,121, 64,1,0.272,11.66,FALSE,0.07-40-0.85,0.2286,0.6845,0.915,0.00554,0.183,-0.190, 3.21e-01,0.00807,0.0309,0.0815,0.01503,0.000362
0.12-24-0.65,0.12,24,0.65, 47,139, 80,1,0.230,18.32,FALSE,0.12-24-0.65,0.2192,0.6966,0.911,0.00520,0.195,-0.191, 3.38e-01,0.00836,0.0294,0.0269,0.01503,0.000529
0.09-32-0.7,0.09,32,0.70, 57,181,100,1,0.212,18.67,FALSE,0.09-32-0.7,0.2439,0.6885,0.930,0.00351,0.164,-0.186, 3.26e-01,0.00755,0.0237,0.0539,0.02509,0.000368
0.09-28-0.85,0.09,28,0.85, 28, 99, 51,1,0.319, 9.59,FALSE,0.09-28-0.85,0.2325,0.6787,0.912,0.00517,0.179,-0.189, 3.12e-01,0.00863,0.0312,0.0307,0.01503,0.000529
0.05-60-0.85,0.05,60,0.85, 53,230,127,1,0.263, 9.34,FALSE,0.05-60-0.85,0.2268,0.6983,0.924,0.00303,0.185,-0.190, 3.41e-01,0.00644,0.0249,0.1481,0.05730,0.000316
0.09-28-0.45,0.09,28,0.45, 55,173, 96,1,0.223,19.64,FALSE,0.09-28-0.45,0.2484,0.6826,0.928,0.00409,0.158,-0.185, 3.18e-01,0.00757,0.0228,0.0384,0.01956,0.000529
0.12-28-0.7,0.12,28,0.70, 53,167, 92,1,0.218,18.27,FALSE,0.12-28-0.7,0.2356,0.6852,0.915,0.00463,0.174,-0.188, 3.22e-01,0.00793,0.0257,0.0384,0.02506,0.000380
0.08-32-0.3,0.08,32,0.30, 62,188,105,1,0.202,24.13,FALSE,0.08-32-0.3,0.2522,0.6834,0.938,0.00279,0.154,-0.184, 3.19e-01,0.00742,0.0224,0.0539,0.02324,0.000380
0.08-28-0.85,0.08,28,0.85, 32,110, 60,1,0.308,11.53,FALSE,0.08-28-0.85,0.2206,0.6864,0.914,0.00517,0.195,-0.191, 3.23e-01,0.00895,0.0320,0.0307,0.01503,0.000529
0.06-56-0.85,0.06,56,0.85, 45,200,110,1,0.284, 9.09,FALSE,0.06-56-0.85,0.2272,0.6950,0.929,0.00241,0.184,-0.190, 3.36e-01,0.00627,0.0251,0.1292,0.05730,0.000285
0.08-28-0.7,0.08,28,0.70, 50,158, 85,1,0.235,18.72,FALSE,0.08-28-0.7,0.2472,0.6900,0.937,0.00315,0.160,-0.186, 3.29e-01,0.00636,0.0222,0.0384,0.01503,0.000529
0.09-28-0.7,0.09,28,0.70, 51,162, 88,1,0.235,16.92,FALSE,0.09-28-0.7,0.2486,0.6654,0.919,0.00373,0.158,-0.185, 2.93e-01,0.00722,0.0274,0.0384,0.01956,0.000529
0.08-32-0.55,0.08,32,0.55, 59,184,101,1,0.210,21.33,FALSE,0.08-32-0.55,0.2422,0.6993,0.938,0.00306,0.168,-0.187, 3.42e-01,0.00731,0.0219,0.0539,0.02324,0.000380
0.09-28-0.75,0.09,28,0.75, 50,159, 86,1,0.243,15.97,FALSE,0.09-28-0.75,0.2454,0.6702,0.918,0.00384,0.162,-0.186, 3.00e-01,0.00718,0.0265,0.0384,0.01956,0.000529
0.09-36-0.75,0.09,36,0.75, 61,206,116,1,0.205,14.19,FALSE,0.09-36-0.75,0.2089,0.7174,0.918,0.00428,0.210,-0.192, 3.70e-01,0.00788,0.0235,0.0676,0.02765,0.000362
0.1-32-0.45,0.10,32,0.45, 61,188,106,1,0.205,22.37,FALSE,0.1-32-0.45,0.2327,0.6958,0.924,0.00383,0.177,-0.189, 3.37e-01,0.00793,0.0225,0.0539,0.02509,0.000368
0.06-32-0.4,0.06,32,0.40, 59,180,100,1,0.211,25.24,FALSE,0.06-32-0.4,0.2458,0.7000,0.947,0.00191,0.164,-0.186, 3.43e-01,0.00638,0.0211,0.0539,0.01503,0.000529
0.09-36-0.7,0.09,36,0.70, 64,212,120,1,0.197,17.04,FALSE,0.09-36-0.7,0.2055,0.7095,0.919,0.00425,0.215,-0.192, 3.58e-01,0.00757,0.0261,0.0676,0.02765,0.000345
0.09-32-0.45,0.09,32,0.45, 61,192,108,1,0.202,21.38,FALSE,0.09-32-0.45,0.2406,0.6877,0.931,0.00346,0.167,-0.187, 3.25e-01,0.00777,0.0221,0.0539,0.02509,0.000368
0.12-24-0,0.12,24,0.00, 48,140, 81,1,0.225,19.27,FALSE,0.12-24-0,0.2143,0.6902,0.906,0.00496,0.204,-0.192, 3.29e-01,0.00849,0.0299,0.0269,0.01503,0.000529
0.16-28-0.75,0.16,28,0.75, 49,154, 85,1,0.229,16.55,FALSE,0.16-28-0.75,0.2456,0.6650,0.908,0.00485,0.162,-0.186, 2.92e-01,0.00783,0.0265,0.0384,0.02645,0.000380
0.07-36-0.75,0.07,36,0.75, 60,197,108,1,0.202,15.90,FALSE,0.07-36-0.75,0.2127,0.7090,0.921,0.00412,0.204,-0.192, 3.57e-01,0.00763,0.0232,0.0676,0.02506,0.000368
0.05-32-0.2,0.05,32,0.20, 56,159, 99,1,0.213,26.77,FALSE,0.05-32-0.2,0.2077,0.7098,0.911,0.00535,0.211,-0.192, 3.58e-01,0.00943,0.0239,0.0539,0.01281,0.000637
0.06-32-0.8,0.06,32,0.80, 41,139, 76,1,0.269,14.55,FALSE,0.06-32-0.8,0.2309,0.6790,0.910,0.00566,0.181,-0.189, 3.12e-01,0.00729,0.0254,0.0539,0.01503,0.000529
0.12-24-0.75,0.12,24,0.75, 43,131, 73,1,0.250,15.41,FALSE,0.12-24-0.75,0.2185,0.6866,0.902,0.00515,0.198,-0.191, 3.24e-01,0.00812,0.0271,0.0269,0.01503,0.000529
0.08-44-0.65,0.08,44,0.65, 84,279,162,1,0.183,23.07,FALSE,0.08-44-0.65,0.1978,0.7403,0.938,0.00218,0.228,-0.193, 4.05e-01,0.00646,0.0202,0.1008,0.03993,0.000285
0.08-36-0.3,0.08,36,0.30, 70,226,130,1,0.182,18.14,FALSE,0.08-36-0.3,0.2058,0.7271,0.933,0.00280,0.215,-0.192, 3.84e-01,0.00727,0.0204,0.0676,0.02645,0.000346
0.06-36-0.65,0.06,36,0.65, 63,201,113,1,0.195,19.63,FALSE,0.06-36-0.65,0.2078,0.7068,0.913,0.00419,0.211,-0.192, 3.54e-01,0.00776,0.0240,0.0676,0.02324,0.000412
0.2-28-0.75,0.20,28,0.75, 49,160, 92,1,0.221,13.19,FALSE,0.2-28-0.75,0.2487,0.6580,0.913,0.00438,0.160,-0.185, 2.82e-01,0.00735,0.0263,0.0384,0.02645,0.000341
0.08-36-0.7,0.08,36,0.70, 63,207,115,1,0.194,17.03,FALSE,0.08-36-0.7,0.2085,0.7169,0.927,0.00411,0.210,-0.192, 3.69e-01,0.00711,0.0213,0.0676,0.02645,0.000346
0.1-44-0.75,0.10,44,0.75, 78,300,174,1,0.193,15.35,FALSE,0.1-44-0.75,0.2147,0.7142,0.928,0.00325,0.202,-0.191, 3.65e-01,0.00675,0.0206,0.1008,0.05730,0.000284
0.08-44-0.85,0.08,44,0.85, 42,161, 91,1,0.266, 9.13,FALSE,0.08-44-0.85,0.2192,0.6899,0.911,0.00392,0.196,-0.191, 3.28e-01,0.00774,0.0247,0.0955,0.02765,0.000316
0.16-24-0.85,0.16,24,0.85, 20, 67, 39,1,0.394, 7.43,FALSE,0.16-24-0.85,0.2457,0.6392,0.885,0.00882,0.171,-0.186, 2.56e-01,0.01073,0.0537,0.0251,0.01503,0.000529
0.12-32-0.8,0.12,32,0.80, 45,153, 85,1,0.249, 9.45,FALSE,0.12-32-0.8,0.2292,0.6670,0.897,0.00553,0.186,-0.189, 2.95e-01,0.00833,0.0290,0.0539,0.02645,0.000362
0.09-48-0.7,0.09,48,0.70, 87,332,196,1,0.177,19.12,FALSE,0.09-48-0.7,0.2025,0.7284,0.928,0.00280,0.220,-0.192, 3.86e-01,0.00678,0.0201,0.1118,0.08504,0.000284
0.05-40-0,0.05,40,0.00, 75,233,138,1,0.175,26.46,FALSE,0.05-40-0,0.2093,0.7130,0.923,0.00326,0.209,-0.192, 3.63e-01,0.00738,0.0215,0.0872,0.02324,0.000529
0.16-40-0.85,0.16,40,0.85, 31,123, 68,1,0.307, 9.64,FALSE,0.16-40-0.85,0.2182,0.6749,0.886,0.00571,0.202,-0.191, 3.06e-01,0.00877,0.0313,0.0869,0.05730,0.000316
0.07-44-0,0.07,44,0.00, 86,284,169,1,0.181,21.48,FALSE,0.07-44-0,0.1916,0.7420,0.935,0.00273,0.237,-0.193, 4.07e-01,0.00679,0.0194,0.1008,0.02875,0.000316
0.1-44-0.7,0.10,44,0.70, 81,309,181,1,0.186,16.35,FALSE,0.1-44-0.7,0.2059,0.7189,0.928,0.00248,0.214,-0.192, 3.72e-01,0.00662,0.0206,0.1008,0.05730,0.000284
